tic,conm_x,Last Price,YTD Ret,1-mth Ret,3-mth Ret,12-mth Ret,BothSP-NASDAQ,SP500,Ticker,gvkey,datadate,fyear,cusip,conm_y,fyr,exchg,cik,fic,addzip,city,gsubind,naics,sic,state,PERMNO,date,NCUSIP,COMNAM,PERMCO,CUSIP
AGFS,Agrofresh Solutions,1.835,-0.2888,-0.122,-0.3127,-0.4681,0,0, AGFS,19525,20191231,2019,00856G109,AGROFRESH SOLUTIONS INC,12,14,1592016,USA,19106,Philadelphia,15101030,325320,2870,PA,14590,20191231,00856G10,AGROFRESH SOLUTIONS INC,54731,00856G10
AGIO,Agios Pharmaceuticals,37.49,-0.2149,-0.1986,-0.2072,-0.4371,0,0, AGIO,18159,20191231,2019,00847X104,AGIOS PHARMACEUTICALS,12,14,1439222,USA,2139,Cambridge,35201010,325414,2836,MA,14044,20191231,00847X10,AGIOS PHARMACEUTICALS INC,54476,00847X10
AGN,Allergan Plc,175.71,-0.0809,-0.0846,-0.0804,0.2059,0,1, AGN,27845,20191231,2019,G0177J108,ALLERGAN PLC,12,11,1578845,IRL,D17 E400,Dublin,35202010,325412,2834,,78916,20191231,G0177J10,ALLERGAN PLC,11965,G0177J10
AGNC,American Capital Age,9.51,-0.4621,-0.4681,-0.4636,-0.4717,0,0, AGNC,179889,20191231,2019,00123Q104,AGNC INVESTMENT CORP,12,14,1423689,USA,20814,Bethesda,40204010,525990,6798,MD,92680,20191231,00123Q10,A G N C INVESTMENT CORP,53021,00123Q10
AIG,American International Group,20.46,-0.6014,-0.5069,-0.6016,-0.5336,0,1, AIG,1487,20191231,2019,26874784,AMERICAN INTERNATIONAL GROUP,12,11,5272,USA,10038,New York,40301030,524126,6331,NY,66800,20191231,2687478,AMERICAN INTERNATIONAL GROUP INC,137,2687478
AIMC,Altra Indtl Mtn,15.62,-0.5686,-0.455,-0.5718,-0.5175,0,0, AIMC,176247,20191231,2019,02208R106,ALTRA INDUSTRIAL MOTION CORP,12,14,1374535,USA,2184,Braintree,20106020,333613,3560,MA,91658,20191231,02208R10,ALTRA INDUSTRIAL MOTION CORP,51546,02208R10
AIMT,Aimmune Therap,13.36,-0.6008,-0.4171,-0.6193,-0.4219,0,0, AIMT,25077,20191231,2019,00900T107,AIMMUNE THERAPEUTICS INC,12,14,1631650,USA,94005,Brisbane,35201010,325414,2836,CA,15630,20191231,00900T10,AIMMUNE THERAPEUTICS INC,55389,00900T10
AIV,Apartment Investment and Management,30.64,-0.4068,-0.3814,-0.4037,-0.3984,0,1, AIV,30490,20191231,2019,03748R754,APARTMENT INVST & MGMT CO,12,11,922864,USA,80237,Denver,60101060,531110,6798,CO,80711,20191231,03748R75,APARTMENT INVESTMENT & MGMT CO,30438,03748R75
AIZ,Assurant Inc,98.75,-0.2466,-0.1988,-0.2575,0.0346,0,1, AIZ,157057,20191231,2019,04621X108,ASSURANT INC,12,11,1267238,USA,10005,New York,40301030,524126,6351,NY,90038,20191231,04621X10,ASSURANT INC,44893,04621X10
AJG,Arthur J. Gallagher & Company,76.26,-0.1992,-0.2426,-0.1999,-0.0269,0,1, AJG,4973,20191231,2019,363576109,ARTHUR J GALLAGHER & CO,12,11,354190,USA,60008,Rolling Meadows,40301010,524210,6411,IL,38093,20191231,36357610,GALLAGHER ARTHUR J & CO,7094,36357610
AKAM,Akamai Technologies,95.36,0.104,0.0563,0.0931,0.2983,1,1, AKAM,125595,20191231,2019,00971T101,AKAMAI TECHNOLOGIES INC,12,14,1086222,USA,2142,Cambridge,45102030,519130,7370,MA,87299,20191231,00971T10,AKAMAI TECHNOLOGIES INC,17300,00971T10
AKBA,Akebia Therapeutics,6.73,0.0649,-0.2472,0.0516,-0.0601,0,0, AKBA,19859,20191231,2019,00972D105,AKEBIA THERAPEUTICS INC,12,14,1517022,USA,2142,Cambridge,35201010,325414,2836,MA,14531,20191231,00972D10,AKEBIA THERAPEUTICS INC,54779,00972D10
AKCA,Akcea Therapeutics Inc,14.55,-0.1411,-0.1182,-0.135,-0.5131,0,0, AKCA,32046,20191231,2019,00972L107,AKCEA THERAPEUTICS INC,12,14,1662524,USA,2210,Boston,35201010,325414,2836,MA,16814,20191231,00972L10,AKCEA THERAPEUTICS INC,55999,00972L10
ALB,Albemarle Corp,52.7,-0.2785,-0.3634,-0.2637,-0.3742,0,1, ALB,29751,20191231,2019,12653101,ALBEMARLE CORP,12,11,915913,USA,28209,Charlotte,15101050,325180,2810,NC,80191,20191231,1265310,ALBEMARLE CORP,30249,1265310
ALDX,Aldeyra Therapeu,1.97,-0.6609,-0.4573,-0.665,-0.7746,0,0, ALDX,20018,20191231,2019,01438T106,ALDEYRA THERAPEUTICS INC,12,14,1341235,USA,2421,Lexington,35201010,325414,2836,MA,14647,20191231,01438T10,ALDEYRA THERAPEUTICS INC,54857,01438T10
ALEC,Alector Inc,21.9,0.271,-0.2234,0.3477,-0.0179,0,0, ALEC,,,,,,,,,,,,,,,,18376,20191231,1444210,ALECTOR INC,56632,1444210
ALGN,Align Technology,154.2,-0.4474,-0.3133,-0.4501,-0.4669,1,1, ALGN,141384,20191231,2019,16255101,ALIGN TECHNOLOGY INC,12,14,1097149,USA,95134,San Jose,35101020,339114,3843,CA,88860,20191231,1625510,ALIGN TECHNOLOGY INC,41154,1625510
